pais,plan,rowid,correo,nombre,antiguedad,costo_plan,usuario_id,_airbyte_ab_id,_airbyte_emitted_at
AR,['premium'],7.0908850513942938e+17,palomarfermin@yahoo.com,Rosalía de Llopis,Sep 2015,7.87,0efa7c7f-172a-4735-a158-f5526a87d001,ac45728f-c3f7-4a04-a549-92e9707d3acf,2021-11-25 21:40:37.607 UTC
AR,['premium'],7.0908850511305114e+17,jaimevilla@hotmail.com,Toni Sala Alfonso,Jul 2019,7.87,00151f36-971d-4c32-9adf-8531d9d49bb2,2f1b3930-c6e0-4af4-8d4b-0b562872df69,2021-11-25 21:40:37.607 UTC
AR,['premium'],7.0908850510597325e+17,aguiloroldan@yahoo.com,Aitana Salvador Chico,Aug 2018,7.87,6f8e6a20-3f65-42e5-977f-0738d2d8c94e,ffedfc47-4988-46e7-8959-05b8069efbcb,2021-11-25 21:40:37.607 UTC
AR,['premium'],7.0908850513084416e+17,ejove@gmail.com,Iris Bonet Zamora,Apr 2016,7.87,230e562d-c0c4-4ef8-9198-cda511256492,523ba91e-3767-4fcb-acb1-5debaf4e5609,2021-11-25 21:40:37.607 UTC
AR,['premium'],7.09088505115607e+17,veronica38@gmail.com,Aldonza Nevárez Centeno,Apr 2020,7.87,2692ac8b-36d3-4a4f-ab01-f08e8057deb7,35ef26ec-487f-4940-a642-f26545ad4390,2021-11-25 21:40:37.607 UTC
AR,['premium'],7.0908850514352538e+17,hmarin@hotmail.com,Marisa Rueda Luján,May 2013,7.87,e74da50b-169b-4b4d-b9b3-96ceecfd7276,529f00cf-de99-4d83-b353-74b2f7500724,2021-11-25 21:40:37.607 UTC
AR,['premium'],7.0908850517314765e+17,pulidorebeca@gmail.com,Iván Estela Zapata Villalobos,Jan 2014,7.87,c8e58196-2b1b-485b-8f03-afa468d76d5d,9610d07b-e043-4565-8221-69f647543ede,2021-11-25 21:40:37.607 UTC
AR,['premium'],7.09088505119998e+17,quirino24@hotmail.com,Lidia Fonseca,Mar 2013,7.87,ceeba793-6bac-48d8-85f2-48084909ea73,0065c9c3-f47b-4a92-9667-6c58950cef2c,2021-11-25 21:40:37.607 UTC
AR,['standard'],7.0908850515207782e+17,ipartida@gmail.com,Claudia Georgina Treviño Loera,Nov 2013,5.4,4ac648a3-efa5-4b00-afad-9ee7b521b636,77690c16-82f6-44dc-8a60-1f1db36d6b0e,2021-11-25 21:40:37.607 UTC
AR,['standard'],7.0908850511783526e+17,rufinovanegas@gmail.com,Genaro Mena Méndez,Apr 2015,5.4,b6c036f3-d548-4dd0-9497-6f2c6b81bc13,a6a5c2cd-2036-45a8-8341-cac437f1bfe9,2021-11-25 21:40:37.607 UTC
AR,['standard'],7.0908850512658432e+17,jnavas@yahoo.com,Gisela Peñas Mate,Dec 2019,5.4,2284859b-2bc5-4a1e-be16-0594b4fb7c92,78568bce-0cae-4984-ad86-42b83aa12be8,2021-11-25 21:40:37.607 UTC
AR,['standard'],7.0908850516901888e+17,salud74@yahoo.com,Bernabé Seco Sánchez,May 2012,5.4,5da26059-582c-4e3e-a13c-574f5f935544,5c7cca25-5459-4a7a-813e-9c59f327e90f,2021-11-25 21:40:37.607 UTC
AR,['standard'],7.09088505175507e+17,almasegarra@yahoo.com,Nicanor de Herranz,Mar 2020,5.4,08280c68-9974-4539-8b68-ae2c879d877c,3767b900-4a7b-477d-9717-66240f232af8,2021-11-25 21:40:37.607 UTC
AR,['standard'],7.0908850512432333e+17,barbaraescalante@yahoo.com,Cristobal Lilia Martínez,Jan 2020,5.4,78714aea-10d9-45be-aea9-da76841b9780,8de3265e-9b47-45ba-adb6-51f97a6ba222,2021-11-25 21:40:37.607 UTC
AR,['standard'],7.0908850514791629e+17,wcervantez@hotmail.com,Samuel Corral Alfaro,Dec 2017,5.4,c2c69f3f-dcac-404e-a02d-96464f97733f,46b787dd-93a7-4542-8d4c-0c541d57d5e5,2021-11-25 21:40:37.607 UTC
AR,['standard'],7.0908850515410944e+17,alemolins@gmail.com,Feliciana Morán Molina,Jan 2014,5.4,3c6df1a8-5c0f-476b-8fef-1744a003f22b,4fe14f13-a4f4-42a5-9c99-bbe9cf7e4f8f,2021-11-25 21:40:37.607 UTC
AR,['standard'],7.0908850512868147e+17,aureliomugica@hotmail.com,Rosendo Chaparro Elorza,Mar 2015,5.4,3ba167f8-54c7-429d-a327-904820696b3a,936bb4b8-72be-407a-8ea5-ead81e46be55,2021-11-25 21:40:37.607 UTC
AU,['basic'],7.0908850578266522e+17,alarson@hotmail.com,Greg Flores,Jul 2018,8.52,ba31d7e9-80f2-4f8b-b0ae-f97c413825a8,32ed2112-f43b-49ce-b208-d6807e4b2a3d,2021-11-25 21:40:37.607 UTC
AU,['basic'],7.0908850580455424e+17,briancervantes@hotmail.com,Jacqueline Mendoza,May 2017,8.52,34bdd452-31f1-4958-b4db-dbb81b9c0553,47ac48e4-5c23-4236-961e-2978b5d1edfd,2021-11-25 21:40:37.607 UTC
AU,['basic'],7.09088505825624e+17,sherri12@hotmail.com,Carol Harris,May 2018,8.52,abfce39c-8339-41d8-83d6-08b512ad4f81,d82ee3ca-d4d1-4fb3-b6d3-5f7196cb95d4,2021-11-25 21:40:37.607 UTC
AU,['basic'],7.0908850583201382e+17,christophercline@gmail.com,Thomas Sanford,Dec 2019,8.52,5ccedd34-0fab-4abb-bba6-e08fde18673d,761821dc-4f63-4c5e-b935-969ff3e8f8da,2021-11-25 21:40:37.607 UTC
AU,['basic'],7.0908850517970125e+17,jonathanrodriguez@gmail.com,Cassandra Morris,Mar 2020,8.52,27aed10b-edaa-4da8-a84a-229dfda3db91,f647b765-ab14-4a95-ab5d-c0a6864ac092,2021-11-25 21:40:37.607 UTC
AU,['basic'],7.090885057936425e+17,luke84@hotmail.com.au,Mark Harrison,Mar 2021,8.52,cd2c67e7-c535-4eb7-8dd4-2197485c36da,f82e4173-1b74-4794-8a09-946c27cf272c,2021-11-25 21:40:37.607 UTC
AU,['basic'],7.09088505791316e+17,jennifer93@yahoo.com,Sarah Ross,Oct 2018,8.52,f0a8d431-d3bd-460e-b1d4-89665548bcff,7f89eb27-16c0-4849-8fbb-ef3a9eb7c2bc,2021-11-25 21:40:37.607 UTC
AU,['basic'],7.0908850579816448e+17,jeffreymarshall@gmail.com,Jennifer Martin,Sep 2013,8.52,a4854b95-34e5-4542-a741-788f86fdf1b5,e93cb6e7-20dd-4b12-8ce2-8763bd5d448c,2021-11-25 21:40:37.607 UTC
AU,['basic'],7.0908850582991667e+17,michaelmartin@gmail.com,Kimberly Fitzgerald,Feb 2012,8.52,058eba5f-3c77-4876-a642-77a43e626ead,3f53c598-47a1-49b2-8ebb-6c0de5f18286,2021-11-25 21:40:37.607 UTC
AU,['basic'],7.09088505194283e+17,oweaver@gmail.com,Ashley Wilson,Dec 2019,8.52,e94d05e8-5896-4b30-afbe-d6184f655b1e,c9e5b7c0-f995-47e2-8102-04ed82756488,2021-11-25 21:40:37.607 UTC
AU,['basic'],7.0908850583597875e+17,rhondabarrett@yahoo.com.au,Robert Rodgers,Mar 2015,8.52,d1e9d339-04d6-4bf9-8940-2c2b812e58b2,3fa01505-bd35-42b9-af0d-e1889de9e40f,2021-11-25 21:40:37.607 UTC
AU,['basic'],7.0908850518166733e+17,kelsey89@hotmail.com.au,Brian Rice,Sep 2016,8.52,53584b44-6189-43c5-b396-1c1c72a9acc8,192e2606-71de-42f1-8662-e7d0c2ac564a,2021-11-25 21:40:37.607 UTC
AU,['standard'],7.0908850519215309e+17,richard52@gmail.com,Alan Cunningham,Dec 2016,12.39,71edc14f-dba2-45e7-bb8e-313d57df3ba4,e37e0b87-129a-496f-a9e9-ba0a5dbf3905,2021-11-25 21:40:37.607 UTC
AU,['standard'],7.0908850518573056e+17,chenderson@hotmail.com,Jessica Stewart,Feb 2019,12.39,9a99267e-5069-4fb5-9717-412151c8fd49,49cd13d3-c453-4871-aa60-3343923b67b0,2021-11-25 21:40:37.607 UTC
AU,['standard'],7.0908850578649907e+17,evelyngomez@gmail.com,Leslie Turner,Oct 2013,12.39,1a559105-33a2-42f6-abe2-e054fcbd2b53,523771a4-d382-4290-88b9-b511f55676fe,2021-11-25 21:40:37.607 UTC
AU,['standard'],7.0908850580245709e+17,robert68@hotmail.com.au,Michael Marshall,Nov 2011,12.39,7cc73972-a402-40ac-9e25-1001dd736c50,1c5bee96-85b5-47e5-a119-32a2a38d1ef1,2021-11-25 21:40:37.607 UTC
AU,['standard'],7.0908850581716992e+17,amyharris@hotmail.com.au,Andrea Cook,Jun 2017,12.39,49c280a2-288d-4ac8-83a5-b37ac4d1bc3a,ead33089-17b3-484e-8fe8-e3b9bfaf8bdb,2021-11-25 21:40:37.607 UTC
AU,['standard'],7.0908850582146253e+17,brandon50@yahoo.com.au,Richard Clark,Mar 2021,12.39,734ae4a1-0030-4e04-ae59-68cf5fb765c7,2e193230-1192-4f7f-950c-ea9a71d46edd,2021-11-25 21:40:37.607 UTC
AU,['standard'],7.0908850580026163e+17,hstewart@hotmail.com,Natalie Harrison,Aug 2018,12.39,43830d79-a53b-4163-9dfb-c478e428928c,391d913f-ba2e-4403-a933-0d5c6c629bc0,2021-11-25 21:40:37.607 UTC
AU,['standard'],7.0908850518786048e+17,joseph96@gmail.com,Erik Padilla,Jan 2013,12.39,f824df44-097b-4385-81bc-0441d662fe8d,7bfd940c-2d70-4202-8536-4dcde7ffb7ca,2021-11-25 21:40:37.607 UTC
AU,['standard'],7.0908850581291008e+17,colechristina@gmail.com,Shirley Perry,Jun 2019,12.39,c4178417-eb43-45dc-97e1-4a56f03efaf2,ac63704e-1b2c-4756-91fc-c60ae459a48f,2021-11-25 21:40:37.607 UTC
AU,['standard'],7.09088505808683e+17,graysusan@yahoo.com.au,James Gray,Aug 2020,12.39,accb8176-1f91-445a-bff4-47b3d5bba72a,319b1b29-67c3-40c0-82a8-3a3eada191e5,2021-11-25 21:40:37.607 UTC
AU,['premium'],7.0908850582781952e+17,ffernandez@hotmail.com.au,Richard Estrada,Nov 2012,15.49,024f715b-d2a7-4d33-96d9-a357c01e6128,9ed3bc88-caca-457f-a262-10340437546b,2021-11-25 21:40:37.607 UTC
AU,['premium'],7.0908850518360064e+17,kathrynelliott@yahoo.com.au,Jennifer Velasquez,Oct 2018,15.49,c182229e-2d48-451d-bc55-a5e8c693d60a,ce1c8f20-5625-4607-aea5-c7428b3b3948,2021-11-25 21:40:37.607 UTC
AU,['premium'],7.0908850579600179e+17,michael32@hotmail.com.au,Kimberly Bailey,Jan 2021,15.49,a0b950ad-4afd-4440-9714-c69011424de5,c36dab81-73b3-4827-b42c-6ddaece36705,2021-11-25 21:40:37.607 UTC
AU,['premium'],7.0908850581507277e+17,joseph29@hotmail.com,Raymond Perez,Mar 2013,15.49,2847b9b7-3538-47d8-8acd-f56572a3677a,ae61614c-7c68-4c0f-9234-3c797ee25b53,2021-11-25 21:40:37.607 UTC
BE,['premium'],7.0908850585210061e+17,davisbrandon@yahoo.com,John Torres,May 2020,19.62,2f67bf1a-d1be-4e90-b988-d221ccce680e,bc0a0fea-ce1e-4ee3-ac99-a85c7e266054,2021-11-25 21:40:37.607 UTC
BE,['premium'],7.0908850584931533e+17,melendezraymond@hotmail.com,Christopher Kelly,Dec 2014,19.62,dfe29526-f1a2-4127-8162-8a197b0decee,a3ca6f5c-7b32-44be-8578-97e8749c5a27,2021-11-25 21:40:37.607 UTC
BE,['premium'],7.0908850587949466e+17,bjimenez@yahoo.com,Dr. Bridget Robinson,Feb 2017,19.62,c899030e-7781-4ee5-81f0-adbec9a2c758,210225d3-5ebd-47ad-bac0-247b5f0378d5,2021-11-25 21:40:37.607 UTC
BE,['premium'],7.0908850586481459e+17,ryananna@hotmail.com,Michael Baker,Aug 2014,19.62,e29456f9-fc26-4ea8-ab5f-1bf62ebf971f,8f6c955c-08ae-4ea8-b124-978af24d7626,2021-11-25 21:40:37.607 UTC
BE,['premium'],7.0908850588159181e+17,nscott@yahoo.com,James Gordon,Sep 2020,19.62,3808647b-18cf-4b8c-aa9a-ae6100109f5c,03f05b33-d35e-4e4d-b27b-4d09d1cfa2db,2021-11-25 21:40:37.607 UTC
BE,['basic'],7.090885058772992e+17,bakerashley@hotmail.com,Andrew Medina,Dec 2019,9.8,b0445edf-f1c3-4a04-b406-d236dedbff28,2614639f-1f55-440f-99b3-26056a7e3e87,2021-11-25 21:40:37.607 UTC
BE,['basic'],7.0908850586894336e+17,melvin96@hotmail.com,Kelsey Price,Apr 2014,9.8,2d3adff7-0513-4406-ad89-b96bd10a7446,fd7950d2-8713-4aeb-9e81-e078949afe6f,2021-11-25 21:40:37.607 UTC
BE,['basic'],7.0908850587100774e+17,christinebraun@hotmail.com,Joseph Pearson,Apr 2021,9.8,ea2977b9-ae7c-4d89-b7da-d591c6d73003,b2ef3165-39ad-4841-8410-99398d029a04,2021-11-25 21:40:37.607 UTC
BE,['basic'],7.0908850591029658e+17,katherinehampton@gmail.com,Monica Anderson,Sep 2021,9.8,cd69125a-2faf-4212-9c7d-5a293ea932c0,84592e83-b5d8-47e0-8832-926ebe5f87c5,2021-11-25 21:40:37.607 UTC
BE,['basic'],7.0908850583794483e+17,mrobinson@gmail.com,Samuel Henderson,May 2017,9.8,14584cbc-84a5-4271-86d1-8d5ca19dd4b6,9159d4f6-b8b9-4eca-8941-22e4dd66567b,2021-11-25 21:40:37.607 UTC
BE,['basic'],7.0908850588372173e+17,emartinez@gmail.com,David Butler,May 2014,9.8,3e6a20f9-6fae-43e7-9860-52843aba6a39,69f9bd9c-9f20-4e38-8a59-d8a0f503fd18,2021-11-25 21:40:37.607 UTC
BE,['standard'],7.0908850585852314e+17,benjamin16@hotmail.com,Michael Stephens,Apr 2021,14.71,77087423-a07b-4f38-9b7e-f5d491d6516a,b06d6824-f9fc-47db-ac41-557f4e2f73d7,2021-11-25 21:40:37.607 UTC
BE,['standard'],7.0908850585413222e+17,jasonwilson@yahoo.com,Kevin Petersen,Dec 2019,14.71,41bf079d-fa02-419a-9a66-84b36fd2a3ab,19f41683-70b5-460f-a20b-6a0a7fec3643,2021-11-25 21:40:37.607 UTC
BE,['standard'],7.09088505908265e+17,tallen@gmail.com,Melissa Warren,Apr 2021,14.71,709255f0-746c-4966-8644-273f2c0d4e2b,788f9ba6-e0d9-4aaa-b5ed-ffb06312aa46,2021-11-25 21:40:37.607 UTC
BE,['standard'],7.0908850585645875e+17,nortonchristina@gmail.com,Donna Burns,Feb 2018,14.71,e7606281-2107-4ccb-b387-5f1d0d5325fc,f8f61819-1f9f-4782-ba45-30685641a74b,2021-11-25 21:40:37.607 UTC
BE,['standard'],7.0908850590220288e+17,robertthompson@gmail.com,Darrell Castillo,Jul 2021,14.71,c7c369d3-599d-4105-8954-82327312778c,eefbbae2-4736-45f7-8dac-cd310e901cce,2021-11-25 21:40:37.607 UTC
BE,['standard'],7.0908850590439834e+17,estuart@hotmail.com,Alexandra Miller,Sep 2020,14.71,ba9cf936-af1e-4365-81b3-ca83608f15d6,a4026c5a-4a6f-4c8b-a9d1-e7a019b3ee7e,2021-11-25 21:40:37.607 UTC
BE,['standard'],7.09088505862488e+17,walkermelissa@hotmail.com,Justin George,Jun 2012,14.71,b5cbdc28-54cf-4cf5-a8a6-aba1c58eadfe,f6fe86e2-dda1-4404-bcf9-3494613c4b9d,2021-11-25 21:40:37.607 UTC
BE,['standard'],7.0908850587510374e+17,karenwheeler@gmail.com,Raymond Mills,Mar 2021,14.71,e1d3f012-027c-4f13-8c25-e268d8295114,f116a783-fc78-4067-b107-e3180017c112,2021-11-25 21:40:37.607 UTC
BE,['standard'],7.0908850590629888e+17,jbrewer@yahoo.com,Marisa Lloyd,Jun 2017,14.71,64bcdba2-433b-44c7-801c-3ec9addcfc4b,1657f3c1-6942-43e0-a59b-3347879ab927,2021-11-25 21:40:37.607 UTC
BR,['basic'],7.0908850591845581e+17,levi13@bol.com.br,Rebeca da Rocha,Sep 2016,4.13,39a8854d-f4e6-475d-af62-cb3ff7910b69,b47c0657-4167-4187-8035-85529f787ae2,2021-11-25 21:40:37.607 UTC
BR,['basic'],7.0908850598140314e+17,luiza18@bol.com.br,Nina Melo,Sep 2012,4.13,3ed1b786-5578-426a-95c0-d571969e2cf2,b868792b-54f5-4479-86a9-e07700e659ba,2021-11-25 21:40:37.607 UTC
BR,['basic'],7.0908850595381248e+17,ribeirosophie@gmail.com,Alice Silveira,Nov 2021,4.13,05c11278-0267-4499-b3f0-35419bcd9267,0067a963-b029-4bc2-a6b6-c0918a0c64a5,2021-11-25 21:40:37.607 UTC
BR,['basic'],7.0908850591639142e+17,fariasdiego@ig.com.br,Laís Moraes,Jul 2012,4.13,608be1af-f23d-469e-a15f-31b422c66304,c2dcdb91-d66e-4a9e-ab57-c37a7d574645,2021-11-25 21:40:37.607 UTC
BR,['basic'],7.0908850597566874e+17,bcostela@ig.com.br,Isabella Silveira,Nov 2014,4.13,4cb21d61-334e-4163-81b6-050c4e466008,6a3787ff-a318-4276-a2e2-c9f514e76c85,2021-11-25 21:40:37.607 UTC
BR,['premium'],7.090885059380183e+17,castroana-vitoria@uol.com.br,Leonardo Castro,May 2014,8.65,b43b8d1c-1fd0-449c-b24f-478e4b28b2a5,990be9f1-9b94-4544-b6a6-af4eb12e3b1b,2021-11-25 21:40:37.607 UTC
BR,['premium'],7.0908850591239373e+17,erick08@gmail.com,Sra. Yasmin Campos,Aug 2020,8.65,1599b850-b064-480c-a812-ea8895f40bfd,c3733985-5822-4057-9c1e-13abbe22e534,2021-11-25 21:40:37.607 UTC
BR,['premium'],7.0908850597766758e+17,goncalvesluna@yahoo.com.br,Bernardo Nogueira,Feb 2017,8.65,8abf0852-4734-4567-8418-653d56026e1b,e52e6db1-9abd-49a8-aa7c-bafbb64290fb,2021-11-25 21:40:37.607 UTC
BR,['premium'],7.0908850597163827e+17,rodriguesjoao@yahoo.com.br,Stephany das Neves,Oct 2015,8.65,3a3f2953-9acb-4562-8b47-ebe544abe997,148496d6-1484-4cb9-a32f-97631211a22e,2021-11-25 21:40:37.607 UTC
BR,['standard'],7.0908850597366989e+17,xgomes@gmail.com,Calebe da Rocha,Feb 2013,6.2,7773d155-39d0-4a70-bb46-3c1343fd2f24,e996ed83-4345-4612-bde9-0cf70ed0adb2,2021-11-25 21:40:37.607 UTC
BR,['standard'],7.0908850596957389e+17,isabelly33@yahoo.com.br,Augusto Farias,Jun 2016,6.2,7d6f2043-801a-4839-9f8f-a5a937795b87,8b95f29e-e70a-4d10-ad62-6d85cf9becec,2021-11-25 21:40:37.607 UTC
BR,['standard'],7.090885059477504e+17,acampos@uol.com.br,Bruna Ribeiro,Jan 2013,6.2,8fa6f45a-f361-4242-9601-6795bfd5a3cb,11d9db08-8055-4f73-a410-7f3a1404a2c5,2021-11-25 21:40:37.607 UTC
BR,['standard'],7.0908850592248627e+17,heitorda-paz@yahoo.com.br,Raul da Costa,Jan 2014,6.2,8fe98187-a8b8-4de0-a859-22a920f700dd,dbdc038c-8583-48f0-a749-2df48abec288,2021-11-25 21:40:37.607 UTC
CA,['basic'],7.0908850601908634e+17,tammygreer@yahoo.com,Joshua Welch PhD,Oct 2012,7.86,b2a0d5a0-4fe5-4730-9b2e-4d8497d6c573,844ae54c-bf30-4473-9122-79538d0d41a1,2021-11-25 21:40:37.607 UTC
CA,['basic'],7.0908850601115648e+17,lemaychantal@gmail.com,Benjamin St-Pierre,Dec 2012,7.86,fbda7dc6-2343-473f-b66d-bb24f5ad85b5,2b699480-69c0-4344-a603-e06ab5227a1f,2021-11-25 21:40:37.607 UTC
CA,['basic'],7.0908850604939674e+17,garzarichard@yahoo.com,David Nguyen,Oct 2016,7.86,b51f1bc2-1268-4dcc-886f-5994cdc24442,c46a5d47-de23-4bac-a0e1-e86bfffbdd38,2021-11-25 21:40:37.607 UTC
CA,['basic'],7.0908850599732838e+17,kgonzalez@yahoo.com,Lisa Taylor,Jul 2017,7.86,afc86beb-92d0-4d6f-9d61-d7e8c5e513af,4e4f5dd7-c6dd-4643-8e51-032eafbd9f21,2021-11-25 21:40:37.607 UTC
CA,['standard'],7.09088506017022e+17,rtessier@yahoo.com,Jessica Leduc,Jun 2018,11.8,f00fb972-6c34-41d1-abce-5077edb0f272,32ea9c8d-6f0b-4da1-a6a7-a4db7d70d12e,2021-11-25 21:40:37.607 UTC
CA,['standard'],7.090885059895296e+17,robertvezina@yahoo.com,Guillaume-Robert Beaudry,Feb 2018,11.8,2e46723d-b587-4b1a-88da-c986f74eed9b,92ec1d05-1382-40c9-b331-fd66f0a52bf5,2021-11-25 21:40:37.607 UTC
CA,['standard'],7.0908850602511565e+17,smack@gmail.com,Wendy Myers,Aug 2016,11.8,e4238527-f995-4877-bb60-99d4eabe7430,6efad64c-a5d9-443a-941a-0425adc78a20,2021-11-25 21:40:37.607 UTC
CA,['standard'],7.0908850603560141e+17,uchavez@gmail.com,David Russo,Aug 2012,11.8,4a8650ce-bf98-4593-ab5c-31dae14827c5,e7f917da-d13b-416f-af61-e9c3e96bdf39,2021-11-25 21:40:37.607 UTC
CA,['standard'],7.0908850603953357e+17,samuelpepin@hotmail.com,Élodie Blanchette,May 2019,11.8,405d5b13-52df-4919-828d-7b70f3e1bda8,bdb11e02-b77d-4128-9aa9-e4bc23ce2ead,2021-11-25 21:40:37.607 UTC
CA,['standard'],7.090885060091904e+17,rhodesalexis@gmail.com,Shelley Casey,Sep 2020,11.8,ec3347bb-90c8-479d-8388-8f3b3e17a225,76ac8587-2844-4574-afa9-264fd483680b,2021-11-25 21:40:37.607 UTC
CA,['standard'],7.0908850603756749e+17,potvinemma@yahoo.com,Charlotte Veilleux,Mar 2013,11.8,77382972-8450-4028-8175-f691b3fa2129,6c199a10-9019-47e2-a1ed-deba4fa78a19,2021-11-25 21:40:37.607 UTC
CA,['standard'],7.0908850598546637e+17,jennifergarcia@yahoo.com,Whitney Frazier,Jul 2019,11.8,16304e9b-0c2b-48db-a627-67ec5df0c52a,9973cf75-27a3-47b7-ac7d-f44d7dba4d43,2021-11-25 21:40:37.607 UTC
CA,['premium'],7.0908850599532954e+17,donna49@gmail.com,Michael Cardenas,Aug 2014,14.94,32746e13-0297-47ac-a6f8-155ab113acf3,febf0f9a-2543-49b4-afdf-a609a57797c5,2021-11-25 21:40:37.607 UTC
CA,['premium'],7.0908850604149965e+17,jamesprice@yahoo.com,Amanda Davis,Feb 2014,14.94,96ce888c-20a1-4df7-8840-f0b6aa7850eb,7ed96b49-e741-4b86-8028-eff90b6300e5,2021-11-25 21:40:37.607 UTC
CA,['premium'],7.09088506033406e+17,christineouellet@gmail.com,Maxime Côté,Nov 2017,14.94,356e9a58-d7a2-400e-8c04-bc6360edd3c1,da0a3176-65a4-4f64-9d91-4a9773aca29b,2021-11-25 21:40:37.607 UTC
CA,['premium'],7.0908850600158822e+17,elabbe@gmail.com,Raphaël Dubé,Nov 2011,14.94,212edb1c-0a1c-49b1-8128-5b3b2b9e2c68,318c7fba-7517-475c-9f6b-d7f5c0b9ac0d,2021-11-25 21:40:37.607 UTC
CA,['premium'],7.0908850605165773e+17,lucasdesbiens@gmail.com,Odette Labrecque,Jan 2017,14.94,0769de58-f4bb-4667-abb1-55edb4f405f1,ef78343f-f332-407f-b280-130afd2d3cbb,2021-11-25 21:40:37.607 UTC
CA,['premium'],7.0908850604346573e+17,juarezjohn@hotmail.com,Alexis Roberts,Dec 2011,14.94,eeb81e3b-9b13-4259-9fd0-a0f1475ccbdd,c56cd0d8-96ca-4ed9-b99c-ecf805ff7eee,2021-11-25 21:40:37.607 UTC
CA,['premium'],7.09088506045399e+17,lduguay@gmail.com,Nathan-Sébastien Carrier,May 2012,14.94,49c312c9-57a0-4f32-80a0-d4a2f5f523b9,370a8e91-a20a-4606-bd04-09bc7bb625c3,2021-11-25 21:40:37.607 UTC
CA,['premium'],7.0908850598336922e+17,daniel30@hotmail.com,Paul Castro,May 2019,14.94,58b159d6-d4d2-483d-85a5-3607b54bd3c8,63cd590d-50f3-435d-85ee-d173999496ed,2021-11-25 21:40:37.607 UTC
CA,['premium'],7.0908850601505587e+17,gigueremarguerite@yahoo.com,Joseph Soucy-Daigle,Jan 2019,14.94,c2e06acc-aff2-4c67-9fcb-4918ed9e6812,dbd51c16-8af9-4259-ad59-c9f4890883a5,2021-11-25 21:40:37.607 UTC
CA,['premium'],7.0908850598759629e+17,brissonmathilde@yahoo.com,Dorothée Richard,Apr 2015,14.94,6c54feb7-96c1-42dc-ac38-b193a0981e6b,6f75d02c-ca14-4691-8e1c-58f48951ec37,2021-11-25 21:40:37.607 UTC
CA,['premium'],7.0908850599955661e+17,irodrigue@gmail.com,Alexandre Marchand,Apr 2014,14.94,5afb024d-0093-4b4a-90ca-401a003f3a50,364212d3-5dae-44c7-a57e-e898b22f7eed,2021-11-25 21:40:37.607 UTC
